Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 13:08:10.194718 	Bidsale  	BTC/USDT   	Paid 0.4642151213 USDT     	Received 0.0000487367 BTC  	
2020/06/01 13:08:10.194718 	Bidsale  	DOGE/USDT  	Paid 0.3713720956 USDT     	Received 144.4195932475 DOGE	
2020/06/01 13:08:10.194718 	Bidsale  	ETH/USDT   	Paid 0.2970976754 USDT     	Received 0.0012556874 ETH  	
2020/06/01 13:08:15.201072 	Bid      	BTC/USDT   	Offers: 9524.95586552 USDT/unit	Requests: 0.0000249532 BTC 	
2020/06/01 13:08:15.201072 	Bidsale  	BTC/USDT   	Paid 0.2376781394 USDT     	Received 0.0000249532 BTC  	
2020/06/01 13:08:20.206474 	Bid      	DOGE/USDT  	Offers: 0.00257117 USDT/unit	Requests: 73.9517460319 DOGE	
2020/06/01 13:08:20.206474 	Bid      	ETH/USDT   	Offers: 236.58979779 USDT/unit	Requests: 0.0006429441 ETH 	
2020/06/01 13:08:20.206474 	Bidsale  	DOGE/USDT  	Paid 0.1901425108 USDT     	Received 73.9517460319 DOGE	
2020/06/01 13:08:20.206474 	Bidsale  	ETH/USDT   	Paid 0.1521140081 USDT     	Received 0.0006429441 ETH  	
2020/06/01 13:08:25.213498 	Bid      	BTC/USDT   	Offers: 9521.11490973 USDT/unit	Requests: 0.0000127812 BTC 	
2020/06/01 13:08:25.213498 	Bid      	DOGE/USDT  	Offers: 0.0025708 USDT/unit	Requests: 37.8687429845 DOGE	
2020/06/01 13:08:25.213498 	Bid      	ETH/USDT   	Offers: 236.53066512 USDT/unit	Requests: 0.0003292697 ETH 	
2020/06/01 13:08:25.213498 	Bidsale  	BTC/USDT   	Paid 0.121691206 USDT      	Received 0.0000127812 BTC  	
2020/06/01 13:08:25.213498 	Bidsale  	DOGE/USDT  	Paid 0.0973529645 USDT     	Received 37.8687429845 DOGE	
2020/06/01 13:08:25.213498 	Bidsale  	ETH/USDT   	Paid 0.0778823713 USDT     	Received 0.0003292697 ETH  	
2020/06/01 13:08:30.219682 	Bid      	BTC/USDT   	Offers: 9520.40690947 USDT/unit	Requests: 0.0000065445 BTC 	
2020/06/01 13:08:30.219682 	Bid      	DOGE/USDT  	Offers: 0.00257079 USDT/unit	Requests: 19.388871611 DOGE	
2020/06/01 13:08:30.219682 	Ask      	ETH/BTC    	Offers: 0.0090335268 ETH   	Requests: 0.0248357 BTC/unit	
2020/06/01 13:08:30.219682 	Bid      	ETH/USDT   	Offers: 236.51884106 USDT/unit	Requests: 0.0001685945 ETH 	
2020/06/01 13:08:30.219682 	Bidsale  	BTC/USDT   	Paid 0.0623058968 USDT     	Received 0.0000065445 BTC  	
2020/06/01 13:08:30.219682 	Bidsale  	DOGE/USDT  	Paid 0.0498447172 USDT     	Received 19.388871611 DOGE 	
2020/06/01 13:08:30.219682 	Asksale  	ETH/BTC    	Paid 0.0090335268 ETH      	Received 0.000224354 BTC   	
2020/06/01 13:08:30.219682 	Bidsale  	ETH/USDT   	Paid 0.0398757737 USDT     	Received 0.0001685945 ETH  	
2020/06/01 13:08:35.225917 	Ask      	BTC/USDT   	Offers: 0.0002836676 BTC   	Requests: 9521.31504786 USDT/unit	
2020/06/01 13:08:35.225917 	Bid      	DOGE/USDT  	Offers: 0.00257076 USDT/unit	Requests: 12.4090225465 DOGE	
2020/06/01 13:08:35.225917 	Bid      	ETH/BTC    	Offers: 0.02483725 BTC/unit	Requests: 0.0091368434 ETH 	
2020/06/01 13:08:35.225917 	Bid      	ETH/USDT   	Offers: 236.49519382 USDT/unit	Requests: 0.0001079113 ETH 	
2020/06/01 13:08:35.225917 	Asksale  	BTC/USDT   	Paid 0.0002836676 BTC      	Received 2.7008884058 USDT 	
2020/06/01 13:08:35.225917 	Bidsale  	DOGE/USDT  	Paid 0.0319006188 USDT     	Received 12.4090225465 DOGE	
2020/06/01 13:08:35.225917 	Bidsale  	ETH/BTC    	Paid 0.0002269341 BTC      	Received 0.0091368434 ETH  	
2020/06/01 13:08:35.225917 	Bidsale  	ETH/USDT   	Paid 0.0255204949 USDT     	Received 0.0001079113 ETH  	
2020/06/01 13:08:40.233231 	Ask      	ETH/USDT   	Offers: 0.0091094913 ETH   	Requests: 236.46490262 USDT/unit	
2020/06/01 13:08:40.233231 	Asksale  	ETH/USDT   	Paid 0.0091094913 ETH      	Received 2.1540749645 USDT 	
2020/06/01 13:08:45.239957 	Bid      	BTC/USDT   	Offers: 9522.08365194 USDT/unit	Requests: 0.0001041168 BTC 	
2020/06/01 13:08:45.239957 	Bid      	DOGE/USDT  	Offers: 0.00257073 USDT/unit	Requests: 308.5221958652 DOGE	
2020/06/01 13:08:45.239957 	Ask      	ETH/BTC    	Offers: 0.007287593 ETH    	Requests: 0.02483646 BTC/unit	
2020/06/01 13:08:45.239957 	Bid      	ETH/USDT   	Offers: 236.4951938 USDT/unit	Requests: 0.0026829374 ETH 	
2020/06/01 13:08:45.239957 	Bidsale  	BTC/USDT   	Paid 0.9914090844 USDT     	Received 0.0001041168 BTC  	
2020/06/01 13:08:45.239957 	Bidsale  	DOGE/USDT  	Paid 0.7931272646 USDT     	Received 308.5221958652 DOGE	
2020/06/01 13:08:45.239957 	Asksale  	ETH/BTC    	Paid 0.007287593 ETH       	Received 0.000180998 BTC   	
2020/06/01 13:08:45.239957 	Bidsale  	ETH/USDT   	Paid 0.6345018093 USDT     	Received 0.0026829374 ETH  	
2020/06/01 13:08:50.247113 	Ask      	BTC/USDT   	Offers: 0.0002385702 BTC   	Requests: 9520.88486443 USDT/unit	
2020/06/01 13:08:50.247113 	Bid      	ETH/USDT   	Offers: 236.49519379 USDT/unit	Requests: 0.0021463499 ETH 	
2020/06/01 13:08:50.247113 	Asksale  	BTC/USDT   	Paid 0.0002385702 BTC      	Received 2.2713995763 USDT 	
2020/06/01 13:08:50.247113 	Bidsale  	ETH/USDT   	Paid 0.5076014455 USDT     	Received 0.0021463499 ETH  	
2020/06/01 13:08:55.253435 	Bid      	BTC/USDT   	Offers: 9522.7124204 USDT/unit	Requests: 0.0000903483 BTC 	
2020/06/01 13:08:55.253435 	Bid      	DOGE/USDT  	Offers: 0.0025707 USDT/unit	Requests: 267.7437503404 DOGE	
2020/06/01 13:08:55.253435 	Bidsale  	BTC/USDT   	Paid 0.860361077 USDT      	Received 0.0000903483 BTC  	
2020/06/01 13:08:55.253435 	Bidsale  	DOGE/USDT  	Paid 0.688288859 USDT      	Received 267.7437503404 DOGE	
2020/06/01 13:09:00.260689 	Ask      	BTC/USDT   	Offers: 0.0002089258 BTC   	Requests: 9521.01510235 USDT/unit	
2020/06/01 13:09:00.260689 	Bid      	DOGE/USDT  	Offers: 0.00257068 USDT/unit	Requests: 214.1966659206 DOGE	
2020/06/01 13:09:00.260689 	Asksale  	BTC/USDT   	Paid 0.0002089258 BTC      	Received 1.989186059 USDT  	
2020/06/01 13:09:00.260689 	Bidsale  	DOGE/USDT  	Paid 0.5506310851 USDT     	Received 214.1966659206 DOGE	
2020/06/01 13:09:05.265993 	Ask      	BTC/USDT   	Offers: 0.0001671407 BTC   	Requests: 9522.00055873 USDT/unit	
2020/06/01 13:09:05.265993 	Bid      	ETH/USDT   	Offers: 236.48336977 USDT/unit	Requests: 0.0035450361 ETH 	
2020/06/01 13:09:05.265993 	Asksale  	BTC/USDT   	Paid 0.0001671407 BTC      	Received 1.5915135511 USDT 	
2020/06/01 13:09:05.265993 	Bidsale  	ETH/USDT   	Paid 0.8383420842 USDT     	Received 0.0035450361 ETH  	
2020/06/01 13:09:10.273221 	Bid      	BTC/USDT   	Offers: 9521.76022095 USDT/unit	Requests: 0.0001038649 BTC 	
2020/06/01 13:09:10.273221 	Bid      	DOGE/USDT  	Offers: 0.00257056 USDT/unit	Requests: 307.7855023463 DOGE	
2020/06/01 13:09:10.273221 	Ask      	ETH/BTC    	Offers: 0.0075049391 ETH   	Requests: 0.0248305 BTC/unit	
2020/06/01 13:09:10.273221 	Bidsale  	BTC/USDT   	Paid 0.9889763798 USDT     	Received 0.0001038649 BTC  	
2020/06/01 13:09:10.273221 	Bidsale  	DOGE/USDT  	Paid 0.7911811009 USDT     	Received 307.7855023463 DOGE	
2020/06/01 13:09:10.273221 	Asksale  	ETH/BTC    	Paid 0.0075049391 ETH      	Received 0.0001863514 BTC  	
2020/06/01 13:09:15.279983 	Bid      	DOGE/USDT  	Offers: 0.00257053 USDT/unit	Requests: 246.2312746286 DOGE	
2020/06/01 13:09:15.279983 	Ask      	ETH/BTC    	Offers: 0.0060039512 ETH   	Requests: 0.02483051 BTC/unit	
2020/06/01 13:09:15.279983 	Bid      	ETH/USDT   	Offers: 236.46490263 USDT/unit	Requests: 0.0021413575 ETH 	
2020/06/01 13:09:15.279983 	Bidsale  	DOGE/USDT  	Paid 0.6329448784 USDT     	Received 246.2312746286 DOGE	
2020/06/01 13:09:15.279983 	Asksale  	ETH/BTC    	Paid 0.0060039512 ETH      	Received 0.0001490812 BTC  	
2020/06/01 13:09:15.279983 	Bidsale  	ETH/USDT   	Paid 0.5063559008 USDT     	Received 0.0021413575 ETH  	
2020/06/01 13:09:20.286630 	Ask      	BTC/USDT   	Offers: 0.000221572 BTC    	Requests: 9519.50669035 USDT/unit	
2020/06/01 13:09:20.286630 	Bid      	DOGE/USDT  	Offers: 0.00257049 USDT/unit	Requests: 157.5904668524 DOGE	
2020/06/01 13:09:20.286630 	Bid      	ETH/BTC    	Offers: 0.024836 BTC/unit  	Requests: 0.0071371242 ETH 	
2020/06/01 13:09:20.286630 	Asksale  	BTC/USDT   	Paid 0.000221572 BTC       	Received 2.1092563532 USDT 	
2020/06/01 13:09:20.286630 	Bidsale  	DOGE/USDT  	Paid 0.4050847191 USDT     	Received 157.5904668524 DOGE	
2020/06/01 13:09:20.286630 	Bidsale  	ETH/BTC    	Paid 0.0001772576 BTC      	Received 0.0071371242 ETH  	
2020/06/01 13:09:25.293363 	Bid      	BTC/USDT   	Offers: 9520.2140018 USDT/unit	Requests: 0.0000783511 BTC 	
2020/06/01 13:09:25.293363 	Bidsale  	BTC/USDT   	Paid 0.745919051 USDT      	Received 0.0000783511 BTC  	
2020/06/01 13:09:30.300574 	Ask      	ETH/USDT   	Offers: 0.0066588574 ETH   	Requests: 236.47672634 USDT/unit	
2020/06/01 13:09:30.300574 	Asksale  	ETH/USDT   	Paid 0.0066588574 ETH      	Received 1.5746647901 USDT 	
2020/06/01 13:09:35.306567 	Bid      	ETH/USDT   	Offers: 236.4715469 USDT/unit	Requests: 0.0038552977 ETH 	
2020/06/01 13:09:35.306567 	Bidsale  	ETH/USDT   	Paid 0.9116682013 USDT     	Received 0.0038552977 ETH  	
2020/06/01 13:09:40.312655 	Bid      	BTC/USDT   	Offers: 9520.00000001 USDT/unit	Requests: 0.0000766108 BTC 	
2020/06/01 13:09:40.312655 	Bid      	ETH/BTC    	Offers: 0.02483725 BTC/unit	Requests: 0.0063403279 ETH 	
2020/06/01 13:09:40.312655 	Bid      	ETH/USDT   	Offers: 236.44790203 USDT/unit	Requests: 0.0024676372 ETH 	
2020/06/01 13:09:40.312655 	Bidsale  	BTC/USDT   	Paid 0.7293345583 USDT     	Received 0.0000766108 BTC  	
2020/06/01 13:09:40.312655 	Bidsale  	ETH/BTC    	Paid 0.0001574763 BTC      	Received 0.0063403279 ETH  	
2020/06/01 13:09:40.312655 	Bidsale  	ETH/USDT   	Paid 0.5834676445 USDT     	Received 0.0024676372 ETH  	
2020/06/01 13:09:45.319249 	Ask      	ETH/BTC    	Offers: 0.0078597385 ETH   	Requests: 0.02483514 BTC/unit	
2020/06/01 13:09:45.319249 	Bid      	ETH/USDT   	Offers: 236.43608279 USDT/unit	Requests: 0.0019742085 ETH 	
2020/06/01 13:09:45.319249 	Asksale  	ETH/BTC    	Paid 0.0078597385 ETH      	Received 0.0001951977 BTC  	
