Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 12:00:05.482982 	Ask      	BTC/USDT   	Offers: 0.0052956271 BTC   	Requests: 9542.41636325 USDT/unit	
2020/06/01 12:00:05.482982 	Ask      	ETH/BTC    	Offers: 1.7126721756 ETH   	Requests: 0.02483421 BTC/unit	
2020/06/01 12:00:05.482982 	Ask      	ETH/USDT   	Offers: 1.3701377354 ETH   	Requests: 237.0490058 USDT/unit	
2020/06/01 12:00:10.488096 	Ask      	BTC/USDT   	Offers: 0.0042365016 BTC   	Requests: 9543.141216 USDT/unit	
2020/06/01 12:00:10.488096 	Ask      	ETH/BTC    	Offers: 1.0961101842 ETH   	Requests: 0.02483671 BTC/unit	
2020/06/01 12:00:10.488096 	Bid      	ETH/USDT   	Offers: 237.17294794 USDT/unit	Requests: 0.0284828024 ETH 	
2020/06/01 12:00:10.488096 	Asksale  	ETH/BTC    	Paid 1.7126721756 ETH      	Received 0.0425328605 BTC  	
2020/06/01 12:00:10.488096 	Bidsale  	ETH/USDT   	Paid 6.7489477828 USDT     	Received 0.0284828024 ETH  	
2020/06/01 12:00:15.492494 	Bid      	BTC/USDT   	Offers: 9543.38601848 USDT/unit	Requests: 0.0035736629 BTC 	
2020/06/01 12:00:15.492494 	Ask      	ETH/USDT   	Offers: 0.669242382 ETH    	Requests: 237.12765148 USDT/unit	
2020/06/01 12:00:15.492494 	Bidsale  	BTC/USDT   	Paid 34.0973807799 USDT    	Received 0.0035736629 BTC  	
2020/06/01 12:00:15.492494 	Asksale  	ETH/USDT   	Paid 0.0286478704 ETH      	Received 6.7894804249 USDT 	
2020/06/01 12:00:15.492494 	Asksale  	ETH/USDT   	Paid 1.3701377354 ETH      	Received 324.7897879866 USDT	
2020/06/01 12:00:20.498077 	Ask      	BTC/USDT   	Offers: 0.0126105061 BTC   	Requests: 9543.37228997 USDT/unit	
2020/06/01 12:00:20.498077 	Ask      	ETH/USDT   	Offers: 0.069218765 ETH    	Requests: 237.20850606 USDT/unit	
2020/06/01 12:00:25.503630 	Ask      	BTC/USDT   	Offers: 0.0100884048 BTC   	Requests: 9548.44452355 USDT/unit	
2020/06/01 12:00:25.503630 	Ask      	ETH/BTC    	Offers: 0.7348924731 ETH   	Requests: 0.02483921 BTC/unit	
2020/06/01 12:00:25.503630 	Bid      	ETH/USDT   	Offers: 237.32847114 USDT/unit	Requests: 0.0200726023 ETH 	
2020/06/01 12:00:25.503630 	Bidsale  	ETH/USDT   	Paid 4.7589037335 USDT     	Received 0.0200726023 ETH  	
2020/06/01 11:58:20.377111 	Bid withd	BTC/USDT   	Offered: 0.0039955459 USDT 	Requested: BTC             	at 9539.81329005           	
2020/06/01 11:58:05.363442 	Bid withd	BTC/USDT   	Offered: 0.0079020913 USDT 	Requested: BTC             	at 9539.74726503           	
2020/06/01 12:00:30.508316 	Bid      	BTC/USDT   	Offers: 9547.67258019 USDT/unit	Requests: 0.0120811761 BTC 	
2020/06/01 12:00:30.508316 	Ask      	ETH/BTC    	Offers: 0.5919284968 ETH   	Requests: 0.02484421 BTC/unit	
2020/06/01 12:00:30.508316 	Bidsale  	BTC/USDT   	Paid 115.280411454 USDT    	Received 0.0120811761 BTC  	
2020/06/01 12:00:30.508316 	Asksale  	ETH/USDT   	Paid 0.669242382 ETH       	Received 158.695874308 USDT	
2020/06/01 11:59:50.468878 	Bid withd	BTC/USDT   	Offered: 0.0046871221 USDT 	Requested: BTC             	at 9540.02842549           	
2020/06/01 12:00:35.513940 	Bid      	BTC/USDT   	Offers: 9546.18683749 USDT/unit	Requests: 0.0139280661 BTC 	
2020/06/01 12:00:35.513940 	Bid      	ETH/BTC    	Offers: 0.02485476 BTC/unit	Requests: 0.421929606 ETH  	
2020/06/01 12:00:35.513940 	Bid      	ETH/USDT   	Offers: 237.3197237 USDT/unit	Requests: 0.0797600012 ETH 	
2020/06/01 12:00:35.513940 	Bidsale  	BTC/USDT   	Paid 132.9037161515 USDT   	Received 0.0139280661 BTC  	
2020/06/01 12:00:35.513940 	Bidsale  	ETH/BTC    	Paid 0.0104786218 BTC      	Received 0.421929606 ETH   	
2020/06/01 12:00:35.513940 	Bidsale  	ETH/USDT   	Paid 18.9134999005 USDT    	Received 0.0797600012 ETH  	
2020/06/01 12:00:35.513940 	Asksale  	ETH/USDT   	Paid 0.6000000089 ETH      	Received 142.2917306363 USDT	
2020/06/01 12:00:40.520244 	Ask      	ETH/BTC    	Offers: 0.5738807186 ETH   	Requests: 0.02485475 BTC/unit	
2020/06/01 12:00:40.520244 	Ask      	ETH/USDT   	Offers: 0.0416906606 ETH   	Requests: 237.3204968 USDT/unit	
2020/06/01 11:59:50.468878 	Bid withd	ETH/USDT   	Offered: 0.1509943959 USDT 	Requested: ETH             	at 236.91092897            	
2020/06/01 12:00:45.526049 	Bid      	ETH/USDT   	Offers: 237.38754532 USDT/unit	Requests: 0.0797600012 ETH 	
2020/06/01 12:00:45.526049 	Bidsale  	ETH/USDT   	Paid 18.9170463755 USDT    	Received 0.0797600012 ETH  	
2020/06/01 12:00:50.532844 	Ask      	BTC/USDT   	Offers: 0.0070364481 BTC   	Requests: 9546.80103366 USDT/unit	
2020/06/01 12:00:55.539164 	Bid      	BTC/USDT   	Offers: 9546.60666609 USDT/unit	Requests: 0.0140791594 BTC 	
2020/06/01 12:00:55.539164 	Ask      	DOGE/USDT  	Offers: 922.6423878867 DOGE	Requests: 0.00255836 USDT/unit	
2020/06/01 12:00:55.539164 	Ask      	ETH/USDT   	Offers: 0.4667184414 ETH   	Requests: 237.38754533 USDT/unit	
2020/06/01 12:00:55.539164 	Bidsale  	BTC/USDT   	Paid 134.3454714898 USDT   	Received 0.0140791594 BTC  	
2020/06/01 12:00:55.539164 	Asksale  	ETH/USDT   	Paid 0.069218765 ETH       	Received 16.4192798444 USDT	
2020/06/01 12:01:00.544794 	Ask      	ETH/BTC    	Offers: 0.3733747517 ETH   	Requests: 0.02485726 BTC/unit	
2020/06/01 12:01:00.544794 	Ask      	ETH/USDT   	Offers: 0.2986998003 ETH   	Requests: 237.49311711 USDT/unit	
2020/06/01 12:01:00.544794 	Asksale  	DOGE/USDT  	Paid 922.6423878867 DOGE   	Received 2.3604513795 USDT 	
2020/06/01 12:01:05.550847 	Ask      	ETH/BTC    	Offers: 0.0036514801 ETH   	Requests: 0.02487151 BTC/unit	
2020/06/01 12:01:05.550847 	Ask      	ETH/USDT   	Offers: 0.2382295433 ETH   	Requests: 237.54994224 USDT/unit	
2020/06/01 12:01:05.550847 	Asksale  	ETH/BTC    	Paid 1.0961101842 ETH      	Received 0.0272237708 BTC  	
2020/06/01 12:01:10.557302 	Bid      	ETH/BTC    	Offers: 0.02487951 BTC/unit	Requests: 0.7246315155 ETH 	
2020/06/01 12:01:10.557302 	Ask      	ETH/USDT   	Offers: 0.1905836339 ETH   	Requests: 237.56182091 USDT/unit	
2020/06/01 12:01:10.557302 	Bidsale  	ETH/BTC    	Paid 0.0179987961 BTC      	Received 0.7246315155 ETH  	
2020/06/01 12:01:10.557302 	Asksale  	ETH/BTC    	Paid 0.7348924731 ETH      	Received 0.0182541485 BTC  	
2020/06/01 12:01:15.563787 	Ask      	BTC/USDT   	Offers: 0.0180736113 BTC   	Requests: 9546.85642157 USDT/unit	
2020/06/01 12:01:15.563787 	Bid      	ETH/BTC    	Offers: 0.02487826 BTC/unit	Requests: 0.5811857021 ETH 	
2020/06/01 12:01:15.563787 	Ask      	ETH/USDT   	Offers: 0.2973932118 ETH   	Requests: 237.58662076 USDT/unit	
2020/06/01 12:01:15.563787 	Bidsale  	ETH/BTC    	Paid 0.012603558 BTC       	Received 0.5073291599 ETH  	
2020/06/01 12:01:15.563787 	Bidsale  	ETH/BTC    	Paid 0.0018348151 BTC      	Received 0.0738565422 ETH  	
2020/06/01 12:01:20.568491 	Ask      	ETH/BTC    	Offers: 0.3541517107 ETH   	Requests: 0.02487825 BTC/unit	
2020/06/01 12:01:20.568491 	Asksale  	BTC/USDT   	Paid 0.0052956271 BTC      	Received 50.5330783682 USDT	
2020/06/01 12:01:20.568491 	Asksale  	ETH/BTC    	Paid 0.5919284968 ETH      	Received 0.0147059959 BTC  	
2020/06/01 12:01:25.573315 	Ask      	DOGE/USDT  	Offers: 738.1139075597 DOGE	Requests: 0.00255846 USDT/unit	
2020/06/01 12:01:25.573315 	Ask      	ETH/USDT   	Offers: 0.2833213675 ETH   	Requests: 237.5902335 USDT/unit	
2020/06/01 12:01:25.573315 	Asksale  	BTC/USDT   	Paid 0.0042365016 BTC      	Received 40.4295333838 USDT	
2020/06/01 12:01:30.578280 	Bid      	ETH/USDT   	Offers: 237.59256043 USDT/unit	Requests: 0.0299356124 ETH 	
2020/06/01 12:01:30.578280 	Asksale  	DOGE/USDT  	Paid 738.1139075597 DOGE   	Received 1.8884349079 USDT 	
2020/06/01 12:01:30.578280 	Bidsale  	ETH/USDT   	Paid 7.1015505016 USDT     	Received 0.0299356124 ETH  	
2020/06/01 12:01:35.584357 	Bid      	BTC/USDT   	Offers: 9544.19091238 USDT/unit	Requests: 0.0134563756 BTC 	
